Booth #,Booth,Food name / description,Price,Notes,Category,id
22,France,"Eiffel Sour Cosmo Slush (Vodka, Grey Goose Cherry Noir, Grand Marnier, Cranberry Juice)",$9.75,,Beverage,fra-eif
12,Germany,Schinken Nudel (Pasta Gratin with Ham & Cheese),$3.25,DDP Snack Eligible,Food,ger-sch
12,Germany,Roast Bratwurst in a Pretzel Roll,$5.00,DDP Snack Eligible,Food,ger-roa
12,Germany,Apple Strudel with Werther’s Original Karamel and Vanilla Sauce,$3.50,"Vegetarian, DDP Snack Eligible",Dessert,ger-app
12,Germany,Altenmünster Oktoberfest,$3.50 – $6.75 – $12.25,,Beverage,ger-alt
12,Germany,BraufactuM Darkon,$3.50 – $6.75 – $12.25,,Beverage,ger-bra
12,Germany,J&H Selbach Bernkasteler Kurfürstlay Riesling Kabinett,$2.75,,Beverage,ger-kab
12,Germany,Selbach-Oster Mosel Riesling Spätlese,$4.75,,Beverage,ger-sel
12,Germany,J&H Selbach Bernkasteler Kurfürstlay Riesling Auslese,$3.50,,Beverage,ger-aus
12,Germany,Weingut Pitthan Dornfelder Dry Barrique Style,$3.00,,Beverage,ger-wei
25,Greece,"Taste of Greece: Grilled & Marinated Calamari, Hitipiti, Eggplant Dip, Olives and Pita Bread",$4.00,DDP Snack Eligible,Food,gre-tas
25,Greece,Griddled Greek Cheese with Pistachios and Honey,$3.50,"Vegetarian, DDP Snack Eligible",Food,gre-gri
25,Greece,Chicken Gyro with Tzatziki Sauce,$3.50,DDP Snack Eligible,Food,gre-chi
25,Greece,Spanakopita,$4.00,"Vegetarian, DDP Snack Eligible",Food,gre-spa
25,Greece,Dannon Oikos® Light & Fit Blueberry Greek Yogurt,$4.00,"Vegetarian, DDP Snack Eligible",Food,gre-dan
25,Greece,Domaine Skouras Moscofilero,$3.50,,Beverage,gre-sko
25,Greece,Domaine Siglas Assyrtiko/Athiri,$3.50,,Beverage,gre-sig
25,Greece,Alpha Estate Axia Syrah,$4.25,,Beverage,gre-alp
25,Greece,Ouzo by Metaxa,$3.50,,Beverage,gre-ouz
28,Hawai’i,Kālua Pork Slider with Sweet and Sour Dole® Pineapple Chutney and Spicy Mayonnaise,$3.50,DDP Snack Eligible,Food,haw-kal
28,Hawai’i,Tuna Poke with Seaweed Salad and Lotus Root Chips,$4.00,DDP Snack Eligible,Food,haw-tun
28,Hawai’i,Kona Brewing Company’s Big Wave Golden Ale,$3.00 – $5.50 – $12.00,,Beverage,haw-big
28,Hawai’i,Kona Brewing Company’s Pipeline Porter,$3.00 – $5.50 – $12.00,,Beverage,haw-pip
28,Hawai’i,Lucien Albrecht Gewurztraminer Réserve,$4.50,,Beverage,haw-luc
28,Hawai’i,Aulani Sunrise featuring Ocean Vodka,$7.25,,Beverage,haw-aul
16,Hops & Barley,Griddled Lobster Tail with Garlic Herb Butter,$7.50,DDP Snack Eligible,Food,hop-gri
16,Hops & Barley,Lobster Roll with Lemon Herb Mayonnaise,$7.50,DDP Snack Eligible,Food,hop-lob
16,Hops & Barley,New England Clam Chowder with a side of Tabasco®,$3.00,DDP Snack Eligible,Food,hop-new
16,Hops & Barley,Craisin® Bread Pudding with Grand Marnier Anglaise,$3.25,"Vegetarian, DDP Snack Eligible",Dessert,hop-cra
16,Hops & Barley,Samuel Adams Boston Lager®,$3.00 – $5.50 – $12.00,*,Beverage,hop-bos
16,Hops & Barley,Samuel Adams® Octoberfest,$3.00 – $5.50 – $12.00,*,Beverage,hop-oct
16,Hops & Barley,Samuel Adams Cherry Wheat®,$3.00 – $5.50 – $12.00,*,Beverage,hop-che
16,Hops & Barley,Rogue Chocolate Stout,$3.00 – $5.50 – $12.00,*,Beverage,hop-rog
16,Hops & Barley,Iron Horse Fairy Tale Cuvée,$8.75,,Beverage,hop-iro
16,Hops & Barley,"Beer Flight: Samuel Adams Boston Lager®, Samuel Adams Cherry Wheat®, Samuel Adams® Octoberfest, Rogue Chocolate Stout",$11.00,,Beverage,hop-bee
23,Ireland,Lobster and Seafood Fisherman’s Pie,$6.25,DDP Snack Eligible,Food,ire-lob
23,Ireland,"Kerrygold Cheese Selection: Reserve Cheddar, Dubliner with Irish Stout, Skellig",$3.75,"Vegetarian, DDP Snack Eligible",Food,ire-ker
23,Ireland,Warm Chocolate Pudding with Bailey’s® Custard,$3.50,"Vegetarian, DDP Snack Eligible",Dessert,ire-war
23,Ireland,Guinness Draught,$3.50 – $6.75 – $12.25,,Beverage,ire-gui
23,Ireland,Bunratty Meade Honey Wine,$5.25,,Beverage,ire-bun
23,Ireland,Chilled Irish Coffee featuring Bunratty Potcheen,$6.50,,Beverage,ire-chi
14,Italy,Ravioli de formaggio all’emiliana,$5.75,DDP Snack Eligible,Food,ita-rav
14,Italy,Salsiccia e ‘Papacelli” Napoletani,$5.75,DDP Snack Eligible,Food,ita-sal
14,Italy,Cannoli al Cioccolato,$3.75,"Vegetarian, DDP Snack Eligible",Dessert,ita-can
14,Italy,Moretti Beer,$8.00,,Beverage,ita-mor
14,Italy,Prosecco,$8.00,,Beverage,ita-pro
14,Italy,Pinot Grigio Placido,$6.00,,Beverage,ita-pin
14,Italy,Chianti Placido,$6.00,,Beverage,ita-chi
14,Italy,Italian Margarita,$10.00,,Beverage,ita-ita
18,Japan,California Roll,$4.25,DDP Snack Eligible,Food,jap-cal
18,Japan,Spicy Hand Roll,$4.95,DDP Snack Eligible,Food,jap-spi
18,Japan,Teriyaki Chicken Hand Roll,$4.50,DDP Snack Eligible,Food,jap-ter
18,Japan,"Youki Tofu topped with Miso Sauce, Edamame and Served with Grilled Vegetables",$4.50,"Vegetarian, DDP Snack Eligible",Food,jap-you
18,Japan,Sapporo Draft Beer,$8.00,,Beverage,jap-sap
18,Japan,Sake: Junmai Ginjo,$7.50,,Beverage,jap-sak
18,Japan,Green Tea Colada,$7.00,,Beverage,jap-gre
5,Mexico,Shrimp Taco with Purple Cabbage,$5.50,DDP Snack Eligible,Food,mex-shr
5,Mexico,Taco de Ribeye with Salsa de Chipotle,$5.50,DDP Snack Eligible,Food,mex-tac
5,Mexico,Rice Pudding,$3.50,"Vegetarian, DDP Snack Eligible",Dessert,mex-ric
5,Mexico,Dos Equis Beer,$8.50,,Beverage,mex-dos
5,Mexico,Sangria,$6.75,,Beverage,mex-san
5,Mexico,Tequila Flight,$12.50,,Beverage,mex-teq
5,Mexico,Mango-Habanero Margarita,$8.50,,Beverage,mex-man
19,Morocco,Kefta Pocket,$5.00,DDP Snack Eligible,Food,mor-kef
19,Morocco,Harissa Chicken Roll,$4.95,DDP Snack Eligible,Food,mor-har
19,Morocco,Baklava,$2.95,"Vegetarian, DDP Snack Eligible",Dessert,mor-bak
19,Morocco,Casa Beer,$7.00,,Beverage,mor-cas
19,Morocco,Ksar White,$4.00,,Beverage,mor-ksa
19,Morocco,Sangria,$5.00,,Beverage,mor-san
19,Morocco,Mimosa Royale,$7.00,,Beverage,mor-mim
20,New Zealand,Gratinated Green Lip Mussels with Garlic and Herbs,$3.50,DDP Snack Eligible,Food,new-gra
20,New Zealand,Lamb Meatball with Spicy Tomato Chutney,$5.00,DDP Snack Eligible,Food,new-lam
20,New Zealand,"Venison Sausage with Pickled Mushrooms, Baby Arugula and Black Currant Reduction",$4.25,DDP Snack Eligible,Food,new-ven
20,New Zealand,Kim Crawford Pinot Grigio,$4.75,,Beverage,new-gri
20,New Zealand,Mohua Sauvignon Blanc,$3.00,,Beverage,new-moh
20,New Zealand,Kim Crawford Unoaked Chardonnay,$3.50,,Beverage,new-uno
20,New Zealand,Kim Crawford Pinot Noir,$4.75,,Beverage,new-noi
9 ½,The Outpost,The Brown Elephant featuring Amarula Cream Liqueur,,,Beverage,out-bro
9 ½,The Outpost,"BGI Brewery, St. George Beer",,,Beverage,out-bgi
13,Poland,Kielbasa and Potato Pierogie with Caramelized Onions and Sour Cream,$5.25,DDP Snack Eligible,Food,pol-kie
13,Poland,"Zapiekanki (Toasted Mushroom, Caramelized Onion and Cheese Bread with House-made Ketchup)",$3.00,"Vegetarian, DDP Snack Eligible",Food,pol-zap
13,Poland,"Okocim Brewery, Okocim O.K. Beer",$3.60 – $6.75 – $12.25,,Beverage,pol-oko
13,Poland,Temptation Zinfandel,$2.50,,Beverage,pol-tem
13,Poland,Frozen Szarlotka (Apple Pie) featuring Zubrowka Bison Grass Vodka,$8.25,,Beverage,pol-fro
26,Refreshment Port,Dole® Pineapple Fritters,$1.99,"Vegetarian, DDP Snack Elgible",Dessert,ref-dol
26,Refreshment Port,Fried Shrimp with Dole® Pineapple Sweet and Sour Sauce,$7.19,DDP Snack Elgible,Food,ref-shr
26,Refreshment Port,Fried Chicken Chunks with Dole® Pineapple Sweet and Sour Sauce,$8.69,DDP Snack Elgible,Food,ref-chi
26,Refreshment Port,Orange Dole® Whip,$3.79,DDP Snack Elgible,Dessert,ref-ora
26,Refreshment Port,Orange Dole® Whip with Crème de Cacao White,$5.79,,Dessert,ref-orc
26,Refreshment Port,Dragon Berry Colada featuring Bacardi® Dragon Berry Rum,$7.75,,Beverage,ref-dra
29,Scotland,"Seared Scottish Salmon with Cauliflower Puree, Watercress and Malt Vinaigrette",$4.50,DDP Snack Eligible,Food,sco-sea
29,Scotland,Vegetarian Haggis with Neeps and Tatties-Griddled Vegetable Cake with Rutabaga and Mashed Potatoes,$3.25,"Vegetarian, DDP Snack Eligible",Food,sco-veg
29,Scotland,"Scottish Banoffee Tart with Bananas, Scottish Whisky Toffee, Walkers Shortbread Crumbles and Sweet Cream",$3.25,"Vegetarian, DDP Snack Eligible",Dessert,sco-sco
29,Scotland,Innis & Gunn® Original,$3.50 – $6.75 – $12.25,,Beverage,sco-inn
29,Scotland,Loch Lomond featuring Glenfiddich® 12 year,$10.50,,Beverage,sco-loc
29,Scotland,"Glenfiddich® Scotch Flight (12, 15 and 18 year)",$15.00,,Beverage,sco-gle
6,Singapore,Lemongrass Chicken Curry with Coconut and Jasmine Rice,$4.25,DDP Snack Eligible,Food,sin-lem
6,Singapore,Seared Mahi Mahi with Jasmine Rice and “Singa” Sauce,$3.75,DDP Snack Eligible,Food,sin-sea
6,Singapore,Tiger Beer,$6.25,,Beverage,sin-tig
6,Singapore,Marqués de Caceres Satinela,$2.50,,Beverage,sin-mar
6,Singapore,Singapore Sling featuring Hendrick’s Gin and Cherry Herring (garnished with Cherry Man Farm-to-Market All-Natural maraschino cherry),$8.00,,Beverage,sin-sin
8,South Korea,Kimchi Dog with Spicy Mustard Sauce,$3.75,DDP Snack Eligible,Food,sou-kim
8,South Korea,Lettuce Wrap with Roast Pork and Kimchi Slaw,$3.50,DDP Snack Eligible,Food,sou-let
8,South Korea,Bohae Black Raspberry Wine – Bokbunjajoo,$4.25,,Beverage,sou-boh
8,South Korea,Jinro Chamisul Soju,$6.50,,Beverage,sou-jin
8,South Korea,Soju Fruit Slushy featuring Jinro Chamisul Soju,$7.50,,Beverage,sou-soj
1,Terra,Trick’n Chick’n Curry with Basmati Rice featuring Gardein™ Chick’n Breast,$3.75,"Vegetarian, DDP Snack Eligible",Food,ter-tri
1,Terra,Chili Colorado with House-made Chips and Cashew Cheese featuring Gardein™ Beefless Tips*,$3.75,"Vegetarian, DDP Snack Eligible",Food,ter-chi
1,Terra,Chocolate Cake with Coconut Mousse and Passion Fruit Sauce,$3.00,"Vegetarian, DDP Snack Eligible",Dessert,ter-cho
1,Terra,Fresh Watermelon Juice,$2.50,,Beverage (Alcohol-free),ter-fre
1,Terra,Napa Smith Organic IPA,$3.50 – $6.75 – $12.25,,Beverage,ter-nap
1,Terra,The Vegan Vine Chardonnay,$3.25,,Beverage,ter-cha
1,Terra,The Vegan Vine Red Blend,$3.50,,Beverage,ter-red
